exchange,ticker,name,sector,website,lei,wikidata,hq_city,hq_latitude,hq_longitude
NZX,PPH,Pushpay Holdings,software as a service,https://pushpay.com,,Q22080936,Auckland,-36.84917,174.76528
NZX,PX1,Plexure Group,,,,,,,
NZX,PYS,PaySauce Limited,,,,,,,
NZX,QEX,QEX Logistics Limited,,,,,,,
NZX,RAD,Radius Residential Care,,,,,,,
NZX,RAK,Rakon,,http://www.rakon.com,,Q3418061,Auckland,-36.84917,174.76528
NZX,RBD,Restaurant Brands,gastronomy,http://www.restaurantbrands.co.nz,,Q3427904,Auckland,-36.84917,174.76528
NZX,RUA,RUA Bioscience,,,,,,,
NZX,RYM,Ryman Healthcare,,http://www.rymanhealthcare.co.nz/,529900UR74KKRFG56I57,Q7385191,Christchurch,-43.53111,172.63611
NZX,SAN,Sanford Limited,,,,,,,
NZX,SCL,Scales Corporation,,,,,,,
NZX,SCT,Scott Technology,,,,,,,
NZX,SCY,Smiths City,retail,https://smithscity.co.nz,,Q104865291,,,
NZX,SDL,Solution Dynamics,,,,,,,
NZX,SEK,Seeka Kiwifruit Industries,,,,,,,
NZX,SKC,SkyCity Entertainment Group,gambling,http://www.skycity.co.nz,,Q864194,Auckland,-36.84917,174.76528
NZX,SKL,Skellerup,industrial manufacturing,http://www.skellerup.co.nz/,,Q3486222,Christchurch,-43.53111,172.63611
NZX,SKO,Serko,,,,Q107723101,,,
NZX,SKT,Sky Network Television,subscription television,http://www.skytv.co.nz/,,Q3486427,Auckland,-36.84917,174.76528
NZX,SML,Synlait,dairy industry,https://www.synlait.com/,,Q7662490,Dunsandel,-43.66,172.195
NZX,SMW,SMW Group,,,,,,,
NZX,SNC,Southern Charter Financial Group,,,,,,,
NZX,SPG,Stride Property & Stride Investment Management,,https://www.strideproperty.co.nz/,,Q109608705,Auckland Central,-36.847,174.765
NZX,SPK,Spark New Zealand,telecommunications industry,https://www.spark.co.nz/,529900HUN51H3Y7QBB66,Q1549526,Auckland,-36.84917,174.76528
NZX,SPN,South Port New Zealand,,,,,,,
NZX,SPY,Smartpay Holdings,,,,,,,
NZX,STU,Steel & Tube,,http://www.steelandtube.co.nz/,,Q24998551,,,
NZX,SUM,Summerset Group,,http://www.summerset.co.nz/,,Q22909162,Wellington,-41.28889,174.77722
NZX,TAH,Third Age Health Services,,,,,,,
NZX,TCL,City of London Investment Trust,investment trust,,213800F3NOTF47H6AO55,Q5123773,London,51.50722,-0.1275
NZX,TEM,Templeton Emerging Markets Investment Trust,,,,Q7698825,,,
NZX,TGG,T&G Global,,,,,,,
NZX,THL,Tourism Holdings,tourism,http://www.thlonline.com/,549300V6QK7IM7HZ2F86,Q7829092,Auckland,-36.84917,174.76528
