ticker,name,sector,lei
RGL,Regional REIT Limited,,549300D8G4NKLRIKBX73
RESI,Residential Secure Income plc,,213800D24WA531LAR763
RM,Rm plc,,2138005RKUCIEKLXWM61
RWA,Robert Walters plc,,213800LIE15BDEN3VW43
COIL,Roquefort Therapeutics PLC,,254900P4SISIWOR9RH34
0QKU,Royal Bank of Canada,,ES7IP3U3RHIGC71XBU11
SUS,S & U plc,,213800QZ1X2A7J64SQ31
SFOR,S4 Capital plc,,21380068SP9V65KPQN68
SBRE,Sabre Insurance Group plc,,2138006RXRQ8P8VKGV98
SERE,Schroder European Real Estate Investment Trust plc,,549300BHT1Z8NI4RLD52
SREI,Schroder Real Estate Investment Trust Limited,,549300ZIJJTMTIIQJP67
STB,Secure Trust Bank Public Limited Company,,213800CXIBLC2TMIGI76
SCSP,Seed Capital Solutions plc,,213800NRFXJG9H18LA29
SEPL,Seplat Energy plc,,029200711C4S4CB2E982
SFR,Severfield plc,,21380025AWPR781CY104
SHI,Sig plc,,213800VDC1BKJEZ8PV53
SNWS,Smiths News plc,,2138004O33ONVOOQXB02
LIVE,Social Housing REIT plc,,213800BERVBS2HFTBC58
SVNS,Solvonis Therapeutics plc,,2138005PH7OJRCRPUD88
SDY,Speedy Hire plc,,213800U78SIYAZDYXM61
SRAD,Stelrad Group plc,,2138006LKVGN16PTVA73
STEM,Sthree plc,,2138003NEBX5VRP3EX50
STVG,Stv Group plc,,21380075GOOTTBDNDJ58
SYME,Supply@Me Capital plc,,213800ZY2C2TI2C5WQ61
SYNT,Synthomer plc,,213800EHT3TI1KPQQJ56
TMIP,Taylor Maritime Limited,,213800FELXGYTYJBBG50
THS,Tharisa plc,,213800WW4YWMVVZIJM90
TBTG,The Beauty Tech Group plc,,9845005838FE7756E729
GYM,The Gym Group plc,,213800VCU9TBANZIN455
SWC,The Smarter Web Company plc,,213800VQO9FUG4PZMP73
TGA,Thungela Resources,,213800EGYK3BN3SRIF27
TPT,Topps Tiles plc,,2138009NA4K1NTLN7Q97
TGR,Total Graphite plc,,2138006PQV9F72H17783
TTE,TotalEnergies SE,,529900S21EQ1BO4ESM68
TOWN,Town Centre Securities plc,,213800XRCH9RW2RIZD79
TRD,Triad Group plc,,213800MDNBFVEQEN1G84
TRI,Trifast plc,,213800WFIVE6RWK3CR22
TTG,Tt Electronics plc,,213800TJGBW5VFHQEV54
TLW,Tullow Oil plc,,2138003EYHWO75RKS857
ULTP,Ultimate Products plc,,213800Q5GWTVIW6KJW33
UPL,Upland Resources Limited,,213800MRG7ISJEK8YA38
VIP,Value And Indexed Property Income Trust plc,,213800CU1PIC7GAER820
VANQ,Vanquis Banking Group plc,,213800U93SZC44VXN635
VID,Videndum plc,,2138007H5DQ4X8YOCF14
WCW,Walker Crips Group plc,,213800T71F7VD5ANZI55
WIL,Wilmington plc,,213800PFUQT4HHFYZJ63
CHSS,World Chess plc,,213800BKR3RT23F9DN71
XAR,Xaar plc,,213800MXEC3KAOBBPO57
YNGN,Young & Co's Brewery plc,,213800JMZDORXCMKFW06
ZTF,Zotefoams plc,,213800B6P256B5XN8D32
