zip,city,state,latitude,longitude
BR4,London,UK,51.36670,-0.01670
BR5,London,UK,51.38330,0.11670
BR6,London,UK,51.36221,0.09043
BR7,London,UK,51.41710,0.06860
BR8,Hextable,UK,51.39720,0.17320
BS0,City of Bristol,UK,51.46460,-2.56360
BS1,Bristol,UK,51.45520,-2.59660
BS10,Henbury,UK,51.50987,-2.63537
BS11,Avonmouth,UK,51.49965,-2.68215
BS13,Bishopsworth,UK,51.41210,-2.61200
BS14,Whitchurch,UK,51.40610,-2.56270
BS15,Kingswood,UK,51.45280,-2.50830
BS16,Fishponds,UK,51.49089,-2.50360
BS2,Bristol,UK,51.45520,-2.59660
BS20,Weston-in-Gordano,UK,51.47298,-2.73821
BS21,Walton-in-Gordano,UK,51.43066,-2.83668
BS22,Worle,UK,51.36503,-2.92583
BS23,Weston-super-Mare,UK,51.33485,-2.97870
BS24,Lympsham,UK,51.32409,-2.91161
BS25,Rowberrow,UK,51.31628,-2.81036
BS26,Weare,UK,51.27546,-2.86727
BS27,Cheddar,UK,51.25980,-2.75490
BS28,Mudgley,UK,51.22654,-2.81127
BS29,Banwell,UK,51.32890,-2.86910
BS3,Bristol,UK,51.45520,-2.59660
BS30,Bridgeyate,UK,51.44771,-2.46216
BS31,Bristol,UK,51.40840,-2.49180
BS32,Bristol,UK,51.54410,-2.55820
BS34,Bristol,UK,51.52410,-2.56610
BS35,Bristol,UK,51.59750,-2.54850
BS36,Coalpit Heath,UK,51.52840,-2.49003
BS37,Horton,UK,51.53419,-2.43911
BS39,Bristol,UK,51.32900,-2.53390
BS4,Knowle,UK,51.43450,-2.55525
BS40,Bristol,UK,51.34670,-2.69120
BS41,Bristol,UK,51.42220,-2.65360
BS48,Nailsea and Backwell,UK,51.42530,-2.74840
BS49,Yatton,UK,51.38900,-2.81870
BS5,Bristol,UK,51.46200,-2.55190
BS6,Bristol,UK,51.46560,-2.59907
BS7,Horfield,UK,51.47670,-2.55720
BS8,Clifton,UK,51.45020,-2.65032
BS80,Weston-Super-Mare,UK,51.50510,-2.59575
BS9,Westbury on Trym,UK,51.48740,-2.62660
BS98,City of Bristol,UK,51.46460,-2.56360
BS99,Bristol (PO Boxes),UK,51.46460,-2.56360
BT1,Belfast,UK,54.58330,-5.93330
BT10,Belfast,UK,54.56665,-5.95830
BT11,Belfast West,UK,54.58097,-5.96650
BT12,Belfast,UK,54.58330,-5.93330
BT13,Belfast,UK,54.60748,-5.95926
BT14,Belfast,UK,54.58330,-5.93330
BT15,Belfast,UK,54.58330,-5.93330
BT16,Belfast,UK,54.58765,-5.86565
BT17,Belfast,UK,54.56660,-5.96480
BT18,Holywood,UK,54.63860,-5.82470
BT19,Groomsport,UK,54.65968,-5.68788
BT2,Belfast,UK,54.58330,-5.93330
BT20,Bangor,UK,54.65340,-5.66890
BT21,Donaghadee,UK,54.64130,-5.53590
BT22,Newtownards,UK,54.51214,-5.54161
